"","language_id","term_id","term","term_abbreviation","language_name","language_location","continent","field_worker_1","field_worker_2","field_worker_3","Unnamed..6","Unnamed..7"
"118",4,12,"spielpuj","SP","Aguacateco","Guatemala","North America","H S McArthur, Tino","Ken Merrifield","Ken Merrifield","Aguacatec_DAT_new.txt","new"
"119",4,13,"sak way","SW","Aguacateco","Guatemala","North America","H S McArthur, Tino","Ken Merrifield","Ken Merrifield","Aguacatec_DAT_new.txt","new"
"120",4,14,"xtantuj","XT","Aguacateco","Guatemala","North America","H S McArthur, Tino","Ken Merrifield","Ken Merrifield","Aguacatec_DAT_new.txt","new"
"121",4,15,"muj","MU","Aguacateco","Guatemala","North America","H S McArthur, Tino","Ken Merrifield","Ken Merrifield","Aguacatec_DAT_new.txt","new"
"122",4,16,"tint wutz","TW","Aguacateco","Guatemala","North America","H S McArthur, Tino","Ken Merrifield","Ken Merrifield","Aguacatec_DAT_new.txt","new"
"123",4,17,"ch'el","CH","Aguacateco","Guatemala","North America","H S McArthur, Tino","Ken Merrifield","Ken Merrifield","Aguacatec_DAT_new.txt","new"
"124",4,18,"xk'ay kuj","XY","Aguacateco","Guatemala","North America","H S McArthur, Tino","Ken Merrifield","Ken Merrifield","Aguacatec_DAT_new.txt","new"
"125",4,19,"tza'j","TZ","Aguacateco","Guatemala","North America","H S McArthur, Tino","Ken Merrifield","Ken Merrifield","Aguacatec_DAT_new.txt","new"
"126",4,20,"celeste","CE","Aguacateco","Guatemala","North America","H S McArthur, Tino","Ken Merrifield","Ken Merrifield","Aguacatec_DAT_new.txt","new"
"127",4,21,"chamic","CA","Aguacateco","Guatemala","North America","H S McArthur, Tino","Ken Merrifield","Ken Merrifield","Aguacatec_DAT_new.txt","new"
"128",4,22,"capej","CP","Aguacateco","Guatemala","North America","H S McArthur, Tino","Ken Merrifield","Ken Merrifield","Aguacatec_DAT_new.txt","new"
"129",4,23,"tejsip","SI","Aguacateco","Guatemala","North America","H S McArthur, Tino","Ken Merrifield","Ken Merrifield","Aguacatec_DAT_new.txt","new"
